,onset,description
0,10.072197361454414,CovertStartFixation
1,10.587159574621069,CovertEndFixation
2,10.587239647918864,FixationCovertVowel:dummy
3,10.589407494071452,CovertStartStimulus
4,11.337172814166365,CovertEndStimulus
5,11.33725288746507,TargetCovertVowelA
6,11.337284916984459,CovertVowelA
7,11.33733881285832,CovertStartISI
8,12.070419813845433,CovertEndISI
9,12.070447224289524,ISICovertVowelA
10,12.07050635524854,CovertStartSpeech
11,13.570351744402501,CovertEndSpeech
12,13.57042227154659,SpeechCovertVowelA
13,13.57045861213544,CovertStartITI
14,14.070419292051042,CovertEndITI
15,14.070490434205453,ITICovertVowelA
16,14.07098627624589,CovertStartFixation
17,14.670320797519594,CovertEndFixation
18,14.670390708652008,FixationCovertVowel:A
19,14.670450147616862,CovertStartStimulus
20,15.420309707669617,CovertEndStimulus
21,15.420333729059962,TargetCovertVowelA
22,15.420351592348993,CovertVowelA
23,15.420394093038226,CovertStartISI
24,16.38745775007908,CovertEndISI
25,16.387485776533026,ISICovertVowelA
26,16.387539672406888,CovertStartSpeech
27,17.887323465561963,CovertEndSpeech
28,17.887354571067476,SpeechCovertVowelA
29,17.88740199983556,CovertStartITI
30,18.387364526782108,CovertEndITI
31,18.38744059701537,ITICovertVowelA
32,18.387964772515147,CovertStartFixation
33,19.187178176846714,CovertEndFixation
34,19.1872523990495,FixationCovertVowel:A
35,19.189402998921537,CovertStartStimulus
36,19.937051902129383,CovertEndStimulus
37,19.937121813262706,TargetCovertVowelI
38,19.937142755603304,CovertVowelI
39,19.93718648831134,CovertStartISI
40,20.753801793816706,CovertEndISI
41,20.75387755604504,ISICovertVowelI
42,20.75393206792876,CovertStartSpeech
43,22.25387416165165,CovertEndSpeech
44,22.25390034007512,SpeechCovertVowelI
45,22.253948383854436,CovertStartITI
46,22.753663605790166,CovertEndITI
47,22.753738444004625,ITICovertVowelI
48,22.754235518063865,CovertStartFixation
49,23.70381535160311,CovertEndFixation
50,23.703886494756148,FixationCovertVowel:I
51,23.705881258101613,CovertStartStimulus
52,24.453942542996515,CovertEndStimulus
53,24.453978575580436,TargetCovertVowelU
54,24.453998901910268,CovertVowelU
55,24.454039863574394,CovertStartISI
56,25.270356740240345,CovertEndISI
57,25.270381685644566,ISICovertVowelU
58,25.270423879328405,CovertStartSpeech
59,26.77036689606564,CovertEndSpeech
60,26.770437731213747,SpeechCovertVowelU
61,26.770470068738064,CovertStartITI
62,27.270498810757886,CovertEndITI
63,27.27052283214732,ITICovertVowelU
64,27.271025758302926,CovertStartFixation
65,27.92048899341887,CovertEndFixation
66,27.920561675597014,FixationCovertVowel:U
67,27.922469281529516,CovertStartStimulus
68,28.670359331646864,CovertEndStimulus
69,28.670428933775725,TargetCovertVowelI
70,28.67044802908447,CovertVowelI
